id,line,section,subsection,todo_checked,priority,task,repo_status,owner,evidence_paths,audit_note,pr_bucket,rank_score
TODO-011,48,0. Production Definition of Done,"0.2 Health, readiness, and runtime acceptance",x,critical,"Ensure readiness probes are wired correctly in Docker Compose, Kubernetes, and Azure deployment assets.",Done,devops,.env.example; CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; Makefile,TODO checked and supporting evidence found.,none,110
TODO-012,49,0. Production Definition of Done,"0.2 Health, readiness, and runtime acceptance",,high,"Add graceful degraded-mode behavior for optional dependencies such as LLM providers, analytics, email, or billing.",Missing,ai/curriculum/backend,.env.example; CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; EduBoost_Technical_Status_Report.md; README.md; RoadMap.md; app/api_v2.py,Only weak/indirect search hits were found; no specific implementation evidence was confirmed.,PR-009 Product/ops/future differentiation,105
TODO-013,53,0. Production Definition of Done,0.3 Operational acceptance,,critical,"Automated database backups are enabled, encrypted, monitored, and restore-tested.",Blocked,backend/data,.env.example; CHANGELOG.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; Makefile; RoadMap.md; alembic/env.py,Cannot be fully verified from repository snapshot; needs GitHub/cloud/staging/operations access.,PR-009 Product/ops/future differentiation,130
TODO-014,54,0. Production Definition of Done,0.3 Operational acceptance,,critical,"Security headers, CORS, cookie policy, JWT policy, and rate limits are verified in staging.",Blocked,security/backend,.env.example; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; Makefile; playwright.config.ts,Cannot be fully verified from repository snapshot; needs GitHub/cloud/staging/operations access.,PR-003 Auth/session/RBAC hardening,130
TODO-015,55,0. Production Definition of Done,0.3 Operational acceptance,,critical,"Logs, metrics, traces, alerts, and dashboards are live before real learner data is processed.",Blocked,frontend,.env.example; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md,Cannot be fully verified from repository snapshot; needs GitHub/cloud/staging/operations access.,PR-009 Product/ops/future differentiation,130
TODO-016,56,0. Production Definition of Done,0.3 Operational acceptance,,critical,"Incident response, security disclosure, data breach handling, and learner-data escalation procedures are documented.",Partial,security/backend,docs/incident_response.md; SECURITY.md,Repo contains related evidence; completion needs targeted validation/tests.,PR-009 Product/ops/future differentiation,160
TODO-017,57,0. Production Definition of Done,0.3 Operational acceptance,,critical,"POPIA consent, export, erasure, retention, audit, and LLM PII-redaction workflows are tested end-to-end.",Partial,compliance/backend,app/services/pii_sweep.py; scripts/popia_sweep.py; tests/popia,Repo contains related evidence; completion needs targeted validation/tests.,PR-004 POPIA consent/data-rights/audit,160
TODO-018,65,1. Repository Governance and Hygiene,1.1 Canonical source of truth,,critical,"Decide and document the canonical repository: `NkgoloL/Eduboost-V2`, `w3ll3ml3b3lo-hue/Eduboost-V2`, or another private/public upstream.",Human-decision,backend/data,.env.example; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; docker-compose.yml; EduBoost_Technical_Status_Report.md; mkdocs.yml; README.md,Requires product/legal/business/education decision or empirical validation before implementation.,PR-001 Repo governance and backlog hygiene,85
TODO-019,66,1. Repository Governance and Hygiene,1.1 Canonical source of truth,,critical,"Add `docs/repository_governance.md` covering canonical repo, mirrors, branch policy, release authority, secret rotation authority, security patch process, and archive policy.",Partial,security/backend,docs/repository_governance.md,Doc exists and names canonical repo; mirror/security authority details are skeletal.,PR-001 Repo governance and backlog hygiene,150
TODO-020,67,1. Repository Governance and Hygiene,1.1 Canonical source of truth,,high,"Protect `master`/`main`: require PR review, required checks, no force-push, no branch deletion, and signed commits if feasible.",Blocked,ai/curriculum/backend,.github/workflows/ci-cd.yml,"Branch protection is a GitHub setting, not verifiable from the ZIP.",PR-001 Repo governance and backlog hygiene,70
TODO-021,68,1. Repository Governance and Hygiene,1.1 Canonical source of truth,,high,"Add `CODEOWNERS` for backend, frontend, infrastructure, security, compliance, curriculum, and docs.",Partial,frontend,.github/CODEOWNERS,CODEOWNERS exists but coverage is narrow.,PR-001 Repo governance and backlog hygiene,120
TODO-022,69,1. Repository Governance and Hygiene,1.1 Canonical source of truth,,high,"Add issue templates: bug, feature, security redirect, compliance concern, accessibility issue, curriculum issue, incorrect content, production incident.",Partial,frontend,.github/ISSUE_TEMPLATE/bug_report.yml; .github/ISSUE_TEMPLATE/feature_request.yml,Bug/feature templates exist; security/compliance/accessibility/curriculum/incident templates missing.,PR-001 Repo governance and backlog hygiene,130
TODO-023,70,1. Repository Governance and Hygiene,1.1 Canonical source of truth,,high,"Add PR template with checkboxes for tests, docs, migrations, POPIA impact, security impact, accessibility impact, analytics impact, deployment impact, and rollback plan.",Partial,frontend,.github/PULL_REQUEST_TEMPLATE.md,Template exists but lacks full requested checklist.,PR-001 Repo governance and backlog hygiene,120
TODO-024,74,1. Repository Governance and Hygiene,1.2 Dependency and artifact cleanup,,high,"Audit dependency files and decide canonical dependency paths for runtime, dev, docs, and ML extras.",Human-decision,backend/data,.env.example; .pre-commit-config.yaml; CHANGELOG.md; CONTRIBUTING.md; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; Makefile; mkdocs.yml,Requires product/legal/business/education decision or empirical validation before implementation.,PR-001 Repo governance and backlog hygiene,75
TODO-025,75,1. Repository Governance and Hygiene,1.2 Dependency and artifact cleanup,,high,"Remove duplicate or stale root dependency files, or clearly mark them as compatibility aliases.",Partial,backend/data,requirements.txt; requirements-dev.txt; requirements-docs.txt; requirements-ml.txt,Root dependency aliases still exist.,PR-001 Repo governance and backlog hygiene,100
TODO-026,76,1. Repository Governance and Hygiene,1.2 Dependency and artifact cleanup,,high,"Enable Dependabot or Renovate for Python, npm, Docker images, and GitHub Actions.",Done,backend/data,.github/dependabot.yml,"Dependabot covers pip, npm, Docker, and GitHub Actions.",none,70
TODO-027,77,1. Repository Governance and Hygiene,1.2 Dependency and artifact cleanup,,medium,"Add a `Makefile` or `justfile` with commands: `dev`, `test`, `lint`, `typecheck`, `e2e`, `migrate`, `docs`, `security`, `release-check`, and `smoke`.",Partial,security/backend,Makefile,Makefile exists but lacks e2e/security/release-check/smoke targets.,PR-001 Repo governance and backlog hygiene,90
TODO-028,78,1. Repository Governance and Hygiene,1.2 Dependency and artifact cleanup,,medium,"Add `docs/adr/` and write ADRs for modular monolith, FastAPI V2, Next.js frontend, PostgreSQL audit ledger, Redis revocation, LLM provider abstraction, POPIA-first design, and CAPS alignment.",Partial,frontend,docs/adr,ADR directory exists but requested ADR set incomplete.,PR-001 Repo governance and backlog hygiene,90
TODO-029,79,1. Repository Governance and Hygiene,1.2 Dependency and artifact cleanup,,medium,Add markdown linting and docs link checking to CI.,Partial,backend/data,.github/workflows/ci-cd.yml,Markdown lint exists; docs link checker not evident.,PR-001 Repo governance and backlog hygiene,70
TODO-030,87,2. Backend Architecture,2.1 Runtime surface,,critical,Keep `app/api_v2.py` as the only supported backend runtime entrypoint.,Partial,product/ops,app/api_v2.py,V2 entrypoint exists; deployment and legacy-shim guarantees remain incomplete.,PR-002 Backend runtime/API contract baseline,130
TODO-031,88,2. Backend Architecture,2.1 Runtime surface,,critical,Ensure `app/legacy/api/main.py` remains a compatibility shim only and cannot diverge from V2 behavior.,Done,ai/curriculum/backend,app/legacy/api/main.py,app/legacy/api/main.py is retained as the compatibility shim.,PR-002 Backend runtime/API contract baseline,125
TODO-032,89,2. Backend Architecture,2.1 Runtime surface,,high,Add a regression test that imports the V2 app using every documented deployment command.,Partial,devops,tests/test_entrypoints.py; .github/workflows/ci-cd.yml,Entrypoint import smoke exists; all documented commands not proven.,PR-002 Backend runtime/API contract baseline,100
TODO-033,90,2. Backend Architecture,2.1 Runtime surface,,high,Add tests proving legacy-only routes are not accidentally exposed as production APIs.,Partial,devops,tests/legacy,Legacy tests exist; route-exposure proof not complete.,PR-002 Backend runtime/API contract baseline,110
TODO-034,91,2. Backend Architecture,2.1 Runtime surface,,high,Generate and commit or publish the OpenAPI schema for review.,Done,backend/product,docs/openapi.json,docs/openapi.json exists.,none,70
TODO-035,92,2. Backend Architecture,2.1 Runtime surface,,medium,Add OpenAPI diff checks in PRs.,Partial,backend/product,.github/workflows/ci-cd.yml,"Related file(s) exist, but requested capability was not evident/complete.",PR-002 Backend runtime/API contract baseline,70
TODO-036,96,2. Backend Architecture,2.2 Router/service/domain boundaries,,critical,"Ensure routers are thin: request validation, auth/consent dependencies, service call, response mapping.",Partial,security/backend,app/api_v2_routers,"Routers exist, but several contain business/audit logic directly.",PR-002 Backend runtime/API contract baseline,150
TODO-037,97,2. Backend Architecture,2.2 Router/service/domain boundaries,,critical,Move business logic out of routers into services or bounded modules.,Partial,ai/curriculum/backend,app/api_v2_routers; app/services; app/modules,Services/modules exist; router/service separation remains inconsistent.,PR-002 Backend runtime/API contract baseline,130
TODO-038,98,2. Backend Architecture,2.2 Router/service/domain boundaries,,high,"Define service contracts for auth, learners, guardians, consent, diagnostics, lessons, study plans, gamification, billing, audit, POPIA export, and erasure.",Partial,security/backend,app/services; app/modules,"Many services exist, but contracts/interfaces are inconsistent.",PR-002 Backend runtime/API contract baseline,130
TODO-039,99,2. Backend Architecture,2.2 Router/service/domain boundaries,,high,Collapse duplicate service concepts between `app/services/*_service_v2.py` and `app/modules/*/service.py`.,Partial,ai/curriculum/backend,app/services; app/modules,Both service_v2 and module services exist; consolidation still needed.,PR-002 Backend runtime/API contract baseline,100
TODO-040,100,2. Backend Architecture,2.2 Router/service/domain boundaries,,high,Decide canonical business-logic location: either `app/services` as application layer or `app/modules/<context>/service.py` as bounded-context services.,Human-decision,ai/curriculum/backend,.env.example; alembic.ini; CHANGELOG.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; mkdocs.yml,Requires product/legal/business/education decision or empirical validation before implementation.,PR-002 Backend runtime/API contract baseline,55
TODO-041,101,2. Backend Architecture,2.2 Router/service/domain boundaries,,high,"Remove metaphor-layer ambiguity from active code: `ether`, `judiciary`, `fourth_estate`, and `executive` should not be core engineering boundaries.",Partial,ai/curriculum/backend,app/services/ether.py; app/services/judiciary.py; app/services/fourth_estate.py; app/services/executive.py,Metaphor services still exist in active code.,PR-002 Backend runtime/API contract baseline,100
TODO-042,102,2. Backend Architecture,2.2 Router/service/domain boundaries,,medium,Keep metaphor names only for storytelling/docs if useful; use domain names in code.,Missing,ai/curriculum/backend,.env.example; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; docker-compose.prod.yml; EduBoost_Technical_Status_Report.md; LLM_Integration_Roadmap.md; mkdocs.yml,Only weak/indirect search hits were found; no specific implementation evidence was confirmed.,PR-002 Backend runtime/API contract baseline,65
TODO-043,103,2. Backend Architecture,2.2 Router/service/domain boundaries,,medium,Enforce import boundaries: routers → services → repositories/domain/core; repositories → models/database; domain should not depend on infrastructure.,Partial,ai/curriculum/backend,.importlinter; .github/workflows/ci-cd.yml,Import-linter exists; boundaries need enforcement/cleanup.,PR-002 Backend runtime/API contract baseline,90
TODO-044,107,2. Backend Architecture,2.3 Dependency injection and cross-cutting concerns,,high,"Standardize FastAPI dependencies for current user, current learner, guardian relationship, role checks, consent checks, DB session, audit context, request ID, and rate-limit identity.",Partial,compliance/backend,app/core/dependencies.py; app/core/security.py,"Dependency helpers exist, not yet standardized across routers.",PR-002 Backend runtime/API contract baseline,120
TODO-045,108,2. Backend Architecture,2.3 Dependency injection and cross-cutting concerns,,high,Replace ad-hoc service construction with dependency providers.,Partial,backend/product,app/api_v2_routers,Routers still instantiate services/repositories directly.,PR-002 Backend runtime/API contract baseline,100
TODO-046,109,2. Backend Architecture,2.3 Dependency injection and cross-cutting concerns,,medium,"Add test dependency overrides for DB, Redis, LLM provider, email provider, payment provider, object storage, and analytics sink.",Partial,ai/curriculum/backend,tests/conftest.py,Test scaffolding exists; not all providers covered.,PR-002 Backend runtime/API contract baseline,70
TODO-047,110,2. Backend Architecture,2.3 Dependency injection and cross-cutting concerns,,medium,"Add request-scoped correlation ID propagation through logs, audit events, traces, and frontend API calls.",Partial,frontend,app/core/middleware.py; app/core/logging.py; app/frontend/src/lib/api/client.ts,RequestID middleware and client exist; audit/tracing propagation requires validation.,PR-002 Backend runtime/API contract baseline,90
TODO-048,118,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,critical,"Confirm every production table has explicit primary keys, timestamps, and appropriate foreign keys.",Partial,backend/data,app/models; alembic/versions,Models/migrations exist; full schema audit required.,PR-005 Database/migration integrity,160
TODO-049,119,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,critical,"Add or verify indexes for user email, learner ID, guardian ID, consent status, token identifiers, diagnostic attempt ID, lesson generation job ID, audit timestamp, audit actor ID, and subscription/customer ID.",Partial,compliance/backend,alembic/versions/20260505_1734_add_missing_production_indexes.py,Index migration exists; full checklist still needs verification.,PR-004 POPIA consent/data-rights/audit,150
TODO-050,120,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,critical,"Add database-level constraints for role enums, consent status, audit event fields, immutable audit identifiers, unique guardian-learner relationships, and non-null sensitive workflow fields.",Partial,compliance/backend,alembic/versions; app/models,Some constraints exist; full sensitive workflow constraint audit required.,PR-004 POPIA consent/data-rights/audit,150
TODO-051,121,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,high,"Add partial indexes for active consent, active subscriptions, non-revoked sessions, and incomplete jobs.",Partial,compliance/backend,alembic/versions/20260505_1734_add_missing_production_indexes.py,Index migration exists; full checklist still needs verification.,PR-004 POPIA consent/data-rights/audit,120
TODO-052,122,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,high,"Review transaction boundaries for signup, learner creation, consent submission, diagnostic completion, lesson generation, billing changes, and erasure requests.",Partial,compliance/backend,app/services; app/api_v2_routers,Repo contains related evidence; completion needs targeted validation/tests.,PR-004 POPIA consent/data-rights/audit,130
TODO-053,123,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,medium,Add slow-query logging in staging and production.,Blocked,backend/data,CHANGELOG.md; EduBoost_Technical_Status_Report.md; alembic/env.py; app/api_v2.py; docker/inference_server.py; docs/api_v2.md; scripts/evaluate_pedagogy.py; scripts/merge_lora.py,Cannot be fully verified from repository snapshot; needs GitHub/cloud/staging/operations access.,PR-005 Database/migration integrity,70
TODO-054,124,"3. Database, Persistence, and Migrations",3.1 PostgreSQL schema readiness,,medium,"Add performance tests for dashboard, diagnostic, lesson, parent report, and audit endpoints.",Partial,frontend,tests,"Related file(s) exist, but requested capability was not evident/complete.",PR-005 Database/migration integrity,90
TODO-055,128,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,x,critical,Run `alembic upgrade head` in CI from an empty database.,Done,backend/data,.env.example; alembic.ini; CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; Makefile,TODO checked and supporting evidence found.,none,120
TODO-056,129,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,x,critical,Run `alembic check` in CI.,Done,backend/data,.env.example; .pre-commit-config.yaml; alembic.ini; CHANGELOG.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md,TODO checked and supporting evidence found.,none,120
TODO-057,130,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,,critical,Document rollback strategy for every destructive migration.,Partial,backend/data,docs/db_rollback.md,Rollback doc exists; per-destructive-migration rollback plans incomplete.,PR-005 Database/migration integrity,150
TODO-058,131,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,,high,Add migration naming convention: `YYYYMMDD_HHMM_<short_description>.py`.,Partial,backend/data,alembic/versions/20260505_1734_add_missing_production_indexes.py,One timestamped migration exists; older files use mixed naming.,PR-005 Database/migration integrity,120
TODO-059,132,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,,high,"Require backup, staging dry-run, validation script, and rollback plan for migrations touching learner/guardian data.",Blocked,backend/data,scripts/smoke_test_migrations.sh; .github/workflows/ci-cd.yml,Needs staging environment and backup workflow validation.,PR-005 Database/migration integrity,100
TODO-060,133,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,,medium,Add migration smoke tests using production-like data volume.,Partial,backend/data,scripts/smoke_test_migrations.sh; .github/workflows/ci-cd.yml,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,100
TODO-061,134,"3. Database, Persistence, and Migrations",3.2 Alembic discipline,,medium,Add synthetic seed data for local development; never use real learner PII in fixtures.,Partial,backend/data,scripts/seed_irt_items.py; scripts/seed_item_bank.py; tests/fixtures,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,100
TODO-062,138,"3. Database, Persistence, and Migrations",3.3 Repository layer,,high,Add repository tests for every persistence path.,Partial,backend/data,tests/unit/test_audit_repository.py; tests/unit/test_v2_services_full.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,120
TODO-063,139,"3. Database, Persistence, and Migrations",3.3 Repository layer,,high,Ensure repository methods do not expose raw ORM objects to API responses.,Partial,backend/data,app/repositories; app/api_v2_routers,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,120
TODO-064,140,"3. Database, Persistence, and Migrations",3.3 Repository layer,x,high,Ensure audit repositories are append-only by interface and by database permission.,Done,backend/data,.env.example; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; docker-compose.prod.yml; docker-compose.yml; EduBoost_Technical_Status_Report.md; Makefile,TODO checked and supporting evidence found.,none,90
TODO-065,141,"3. Database, Persistence, and Migrations",3.3 Repository layer,,medium,"Standardize repository method names: `get_*`, `list_*`, `create_*`, `update_*`, `soft_delete_*`, `append_*`.",Partial,backend/data,app/repositories,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,90
TODO-066,142,"3. Database, Persistence, and Migrations",3.3 Repository layer,,medium,Use pagination and deterministic sorting for all list endpoints.,Partial,backend/data,app/api_v2_routers; app/repositories,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,90
TODO-067,143,"3. Database, Persistence, and Migrations",3.3 Repository layer,,medium,Use cursor pagination for high-volume event streams.,Partial,backend/data,app/api_v2_routers; app/repositories,Repo contains related evidence; completion needs targeted validation/tests.,PR-005 Database/migration integrity,90
TODO-068,151,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,critical,"Verify signup, login, refresh, logout, email verification, and password reset end-to-end.",Partial,security/backend,app/api_v2_routers/auth.py; app/modules/auth/service.py; tests,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
TODO-069,152,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,critical,Use modern password hashing such as Argon2id or bcrypt with tuned cost.,Partial,security/backend,app/services/auth_service.py; app/core/security.py; tests/unit/test_v2_services_full.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
TODO-070,153,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,critical,Enforce minimum passphrase/password strength.,Partial,security/backend,app/modules/auth/service.py; app/services/auth_service.py,"Related file(s) exist, but requested capability was not evident/complete.",PR-003 Auth/session/RBAC hardening,150
TODO-071,154,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,critical,"Add rate limiting for login, signup, refresh, password reset, and verification endpoints.",Partial,security/backend,app/core/rate_limit.py; app/api_v2.py; app/api_v2_routers/lessons.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
TODO-072,155,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,high,Add account lockout or risk-based throttling after repeated failed attempts.,Partial,security/backend,app/modules/auth/service.py,"Related file(s) exist, but requested capability was not evident/complete.",PR-003 Auth/session/RBAC hardening,120
TODO-073,156,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,high,Add session inventory and “log out all devices.”,Partial,security/backend,app/modules/auth/service.py,"Related file(s) exist, but requested capability was not evident/complete.",PR-003 Auth/session/RBAC hardening,120
TODO-074,157,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,medium,"Add optional MFA for parents, teachers, admins, and support operators.",Partial,security/backend,app/modules/auth/service.py,"Related file(s) exist, but requested capability was not evident/complete.",PR-003 Auth/session/RBAC hardening,90
TODO-075,158,"4. Authentication, Authorization, and Session Security",4.1 Authentication flows,,medium,Add passkeys/WebAuthn later as a trust differentiator.,Partial,security/backend,app/modules/auth/service.py,"Related file(s) exist, but requested capability was not evident/complete.",PR-003 Auth/session/RBAC hardening,90
TODO-076,162,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,critical,Confirm production access-token TTL is 15 minutes or intentionally overridden and documented.,Partial,security/backend,app/core/config.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,160
TODO-077,163,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,critical,Confirm production refresh-token TTL is 7 days or intentionally overridden and documented.,Partial,security/backend,app/core/config.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,160
TODO-078,164,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,critical,"Store refresh tokens hashed at rest, revocable, bound to a token family, and rotated on use.",Partial,security/backend,app/modules/auth/service.py; app/services/auth_service.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
TODO-079,165,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,critical,Detect refresh-token reuse and revoke the token family.,Partial,security/backend,app/modules/auth/service.py; app/services/auth_service.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
TODO-080,166,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,critical,Confirm Redis-backed revocation survives expected restart/failover behavior or has persistent fallback where necessary.,Partial,security/backend,app/core/security.py; app/core/redis.py; .env.example,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
TODO-081,167,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,high,"Add JWT signing-key rotation with `kid`, current/previous keys, rotation schedule, and emergency revoke-all procedure.",Partial,security/backend,app/core/secret_rotation.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,120
TODO-082,168,"4. Authentication, Authorization, and Session Security",4.2 JWT and token policy,,high,"Verify cookie settings: `HttpOnly`, `Secure`, correct `SameSite`, correct domain, correct path, and no JavaScript-readable tokens.",Partial,security/backend,app/api_v2_routers/auth.py; app/core/config.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,120
TODO-083,172,"4. Authentication, Authorization, and Session Security",4.3 Authorization and RBAC,,critical,"Define roles: learner, parent/guardian, teacher/tutor, admin, support operator, content reviewer, compliance auditor.",Partial,security/backend,app/core/security.py; app/core/dependencies.py; app/domain/schemas.py,Repo contains related evidence; completion needs targeted validation/tests.,PR-003 Auth/session/RBAC hardening,150
